Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
RGN,Low,Myanmar,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia","Africa, Middle East & Asia",Asia 2,South East Asia,,Southeast Asia,Asia 2,,"RGN,",14
WDH,Very Low,Namibia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,,Southern Africa,,Africa,"East, West and South Africa",,"WDH,",11
INU,Very Low,Nauru,,,,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,,,,,,,"INU,",4
KTM,Very Low,Nepal,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Rest of Asia,Southwest Asia,Asia 3,Asia 2,"Central, South Asia",,Indian Subcontinent,India,Indian Sub-Continent,Southwest Asia,Indian Subcontinent,,"KTM,",14
SXM,Low,Netherland Antilles,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,,"Hawaii, Central America","Caribbean, Mexico & Central America",,Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"SXM,",12
AMS,Alliance Hub,Netherlands,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"AMS,",14
NOU,Very Low,New Caledonia,Oceania,,Others,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,Pacific 1,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"NOU,",11
AKL,Alliance Hub,New Zealand - Auckland,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,Oceania,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"AKL,",14
CHC,Medium,New Zealand - Christchurch,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"CHC,",13
ZQN,Low,New Zealand - Queenstown,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia",South West Pacific,,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"ZQN,",13
WLG,Medium,New Zealand - Wellington,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia",South West Pacific,,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"WLG,",13
MGA,Low,Nicaragua,Central America,Central America,Central America North,Central America,Central America,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"MGA,",14
NIM,Very Low,Niger,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,,,"NIM,",11
LOS,Low,Nigeria,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa","Africa, Middle East & Asia",Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"LOS,",14
NLK,Very Low,Norfolk Island,Australia / New Zealand,,Others,Southwest Pacific,Other,,,"Oceania, Micronesia",South West Pacific,,,Australia/New Zealand/Oceania,Australia & Pacific,,"Australia, New Zealand & South Pacific",,"NLK,",9
FNJ,Very Low,North Korea,,,North Asia,,Other,,,,,,,,,,Asia 1,,"FNJ,",3
SPN,Very Low,Northern Mariana Islands,Oceania,,Others,,Other,,,"Oceania, Micronesia",,,Pacific 2,Australia/New Zealand/Oceania,Southeast Asia,"Australia, NZ and South Pacific",,,"SPN,",8
OSL,Alliance Hub,Norway,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"OSL,",13
MCT,Very Low,Oman,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"MCT,",13
ISB,Medium,Pakistan - Islamabad,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Middle East,,Asia 3,Asia 2,"Central, South Asia",,Indian Subcontinent,India,,Southwest Asia,Indian Subcontinent,,"ISB,",12
KHI,Alliance Hub,Pakistan - Karachi,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Middle East,,Asia 3,Asia 2,"Central, South Asia",,Indian Subcontinent,India,,Southwest Asia,Indian Subcontinent,,"KHI,",12
LHE,Medium,Pakistan - Lahore,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Middle East,,Asia 3,Asia 2,"Central, South Asia",,Indian Subcontinent,India,,Southwest Asia,Indian Subcontinent,,"LHE,",12
ROR,Very Low,Palau,Oceania,,Others,,Other,,Asia 2,"Oceania, Micronesia",North Asia 2,South West Pacific,Pacific 2,South East Asia,Southeast Asia,"Australia, NZ and South Pacific",,,"ROR,",11
PSN,Very Low,Palestine,,,Middle East/North Africa,,Middle East,,,"Africa, Middle East",,,,,,,,,"PSN,",3
PTY,Alliance Hub,Panama,Central America,Central America,Central America South,Central America,Central America,,South America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"PTY,",14
POM,Very Low,Papua New Guinea,Oceania,South Pacific,,Southeast Asia,Other,,Oceania,"Oceania, Micronesia",,,,Australia/New Zealand/Oceania,,"Australia, NZ and South Pacific",,,"POM,",8
ASU,Low,Paraguay,Southern South America,South America Region 2,South of South America,Southern South America,South America,,South America,"South, Latin America",South America,,Latin America 2,South America,,South South America,Southern South America,,"ASU,",12
LIM,Alliance Hub,Peru,Northern South America,South America Region 1,North of South America,Northern South America,South America,,South America,"South, Latin America",South America,South America,Latin America 1 ,South America,South America 1,North South America,Southern South America,,"LIM,",14
MNL,Alliance Hub,Philippines,South Asia,Asia Region 2,South Asia,Northern Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 1,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia","Africa, Middle East & Asia",Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"MNL,",15
WAW,Alliance Hub,Poland,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"WAW,",13
LIS,Alliance Hub,Portugal - Lisbon,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"LIS,",14
OPO,Medium,Portugal - Porto,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"OPO,",13
SJU,Low,Puerto Rico,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,North America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"SJU,",14
DOH,Alliance Hub,Qatar,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"DOH,",13
RUN,Low,Reunion Island,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 2 (Southern + Indian Ocean),,Central & Southern Africa,Africa,,,"RUN,",10
OTP,Alliance Hub,Romania,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"OTP,",12
IKT,Medium,Russia - Irkutsk/Central Russia,Europe,Europe,Europe,Northern Asia,Other,China/Northeast Asia,Asia 2,Europe,,,"Middle East, Central Asia, Central Russia",Europe,Middle East,Europe,Asia 2,,"IKT,",13
DME,Alliance Hub,Russia - Moscow - Domodedovo,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,"Zone 12 - Europe II (BCN, FRA, LON, MAN, MXP, DME, MUC, CDG, ZRH)",,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"DME,",13
SVO,Alliance Hub,Russia - Moscow - Sheremetyevo,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"SVO,",14
VVO,Medium,Russia - Vladivostok,Europe,Europe,Europe,Northern Asia,Other,China/Northeast Asia,Asia 2,Europe,North Asia 2,,Asia 1 (Eastern Russia),Europe,Northern Asia,Europe,Asia 2,,"VVO,",14
KGL,Very Low,Rwanda,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"KGL,",12
VIL,Very Low,Sahara (Western),,,South Africa,,Africa,,,,,,,,,,,,"VIL,",2
SPN,Very Low,Saipan,,Asia Region 2,,Northern Asia,Other,,Asia 2,,,South West Pacific,Pacific 2,,Southeast Asia,,,,"SPN,",7
TMS,Very Low,Sao Tome and Principe,Central/Southern Africa,,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,,,"East, West and South Africa",,"TMS,",8
JED,Medium,Saudi Arabia - Jeddah,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Zone 10 - Africa, Middle East, Turkey",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"JED,",13
RUH,Alliance Hub,Saudi Arabia - Riyadh,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"RUH,",13
DKR,Very Low,Senegal,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa","Africa, Middle East & Asia",Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"DKR,",14
BEG,Low,Serbia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"BEG,",13
SEZ,Very Low,Seychelles,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"SEZ,",12
FNA,Very Low,Sierra Leone,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,,,"FNA,",10
SIN,Alliance Hub,Singapore,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,Zone 1 - Singapore,"Africa, Middle East & Asia",Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 1,,"SIN,",15
BTS,Low,Slovakia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"BTS,",13
LJU,Alliance Hub,Slovenia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"LJU,",13
HIR,Very Low,Solomon Islands,,,,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,,,,,,,"HIR,",4
MGQ,Very Low,Somalia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,,Africa,,,"MGQ,",9
CPT,Medium,South Africa - Cape Town,Central/Southern Africa,Africa,South Africa,South Africa,South Africa,,"Middle East, Africa","Africa, Middle East","Zone 10 - Africa, Middle East, Turkey",,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"CPT,",13
JNB,Alliance Hub,South Africa - Johannesburg,Central/Southern Africa,Africa,South Africa,South Africa,South Africa,,"Middle East, Africa","Africa, Middle East","Zone 10 - Africa, Middle East, Turkey","Africa, Middle East & Asia",Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"JNB,",14
CJU,Medium,South Korea - Jeju,North Asia,Asia Region 1,North Asia,Northern Asia,Korea,Korea,Asia 1,South Korea,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"CJU,",15
GMP,Medium,South Korea - Seoul - Gimpo,North Asia,Asia Region 1,North Asia,Northern Asia,Korea,Korea,Asia 1,South Korea,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"GMP,",15
ICN,Alliance Hub,South Korea - Seoul - Incheon,North Asia,Asia Region 1,North Asia,Northern Asia,Korea,Korea,Asia 1,South Korea,Zone 7 - Japan & South Korea,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"ICN,",15
JUB,Very Low,South Sudan,,,South Africa,,Africa,,,,,,,,,,,,"JUB,",2
BCN,Medium,Spain - Barcelona ,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"BCN,",14
MAD,Alliance Hub,Spain - Madrid,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"MAD,",14
PMI,Medium,Spain - Palma De Mallorca,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"PMI,",13
CMB,Alliance Hub,Sri Lanka,Central Asia,Asia Region 2,Central Asia,South Asian Subcontinent,Rest of Asia,Southwest Asia,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,,Indian Subcontinent,,"CMB,",13
RAF,Very Low,St. Helena,,,South Africa,,Africa,,,"South, Latin America",,,,,,,,,"RAF,",3
SKB,Low,St. Kitts-Nevis,Caribbean,Caribbean,,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America",,Central America & Caribbean,,Central America & Caribbean,Caribbean & Central America,,"SKB,",11
UVF,Low,St. Lucia,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"UVF,",14
SXM,Low,St. Maarten,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,,,"Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",,,,"SXM,",10
SVD,Very Low,St. Vincent,,,,Caribbean,Other,,Central America,"South, Latin America",,,,,,,,,"SVD,",4
PZU,Very Low,Sudan,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"PZU,",13
PBM,Very Low,Suriname,Northern South America,,,Northern South America,South America,,Central America,"South, Latin America",,,"North America, Aruba, Bonaire, Curacao, Suriname",,South America 1,North South America,,,"PBM,",8
SHO,Very Low,Swaziland,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Southern Africa,,,"East, West and South Africa",,"SHO,",9
ARN,Alliance Hub,Sweden,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"ARN,",14
GVA,Medium,Switzerland - Geneva,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"GVA,",13
ZRH,Alliance Hub,Switzerland - Zurich,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"ZRH,",14
DAM,Very Low,Syria,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Middle East & North Africa,,"DAM,",13
TPE,Alliance Hub,Taiwan,North Asia,Asia Region 2,North Asia,Northern Asia,Taiwan,China/Northeast Asia,Asia 2,Asia 1,North Asia 1,"Africa, Middle East & Asia",Asia 2,Far East,Southeast Asia,Southeast Asia,Asia 1,,"TPE,",15
DYU,Very Low,Tajikistan,Central Asia,Middle East / Indian Subcontinent,Central Asia,Southeast Asia,Rest of Asia,,Asia 2,Asia 2,"Central, South Asia",,,Central Asia,,Southwest Asia,Middle East & North Africa,,"DYU,",11
DAR,Very Low,Tanzania,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"DAR,",13
BKK,Alliance Hub,Thailand,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia","Africa, Middle East & Asia",,South East Asia,Southeast Asia,Southeast Asia,Asia 1,,"BKK,",14
DIC,Very Low,Timor Leste,,,South Asia,Southeast Asia,Rest of Asia,,,Asia 2,,,,,,,,,"DIC,",4
LFW,Very Low,Togo,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"LFW,",12
TBU,Very Low,Tonga,Oceania,South Pacific,Others,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",South West Pacific,,,Australia/New Zealand/Oceania,,,"Australia, New Zealand & South Pacific",,"TBU,",10
POS,Low,Trinidad & Tobago,Caribbean,Caribbean,,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,"Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,South America 1,Central America & Caribbean,Caribbean & Central America,,"POS,",12
TUN,Low,Tunisia,Northern Africa,Africa,Middle East/North Africa,Europe,Africa,,Europe,Europe,"Middle East, North Africa",,Europe 3 + North Africa,Middle East/Caucasus/North/Central Africa,Europe 1 & North Africa 1,North Africa,Middle East & North Africa,,"TUN,",13
AYT,Medium,Turkey - Antalya,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,"Middle East, North Africa",,Europe 3 + North Africa,Europe,Europe 3 & Near East,Middle East,Europe 2,,"AYT,",13
IST,Alliance Hub,Turkey - Istanbul - Ataturk,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,"Middle East, North Africa",UK/Europe,Europe 3 + North Africa,Europe,Europe 3 & Near East,Middle East,Europe 2,,"IST,",14
SAW,Medium,Turkey - Istanbul - Sabitha Gocken,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,"Middle East, North Africa",,Europe 3 + North Africa,Europe,Europe 3 & Near East,Middle East,Europe 2,,"SAW,",13
ASB,Very Low,Turkmenistan,Central Asia,Middle East / Indian Subcontinent,Central Asia,Southeast Asia,Rest of Asia,,Asia 2,Asia 2,"Central, South Asia",,,Central Asia,,Southwest Asia,Middle East & North Africa,,"ASB,",11
PLS,Low,Turks and Caicos,Caribbean,Caribbean,,Caribbean,Caribbean,,,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,,Central America & Caribbean,Caribbean & Central America,,"PLS,",11
FUN,Very Low,Tuvalu,,,,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,,,,,,,"FUN,",4
STT,Low,U.S. Virgin Islands,Caribbean,Caribbean,,Caribbean,Caribbean,,North America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"STT,",13
EBB,Very Low,Uganda,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"EBB,",13
IEV,Low,Ukraine,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"IEV,",13
AUH,Alliance Hub,United Arab Emirates - Abu Dhabi,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"AUH,",13
DXB,Alliance Hub,United Arab Emirates - Dubai,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Zone 10 - Africa, Middle East, Turkey","Africa, Middle East & Asia","Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"DXB,",14
SHJ,Medium,United Arab Emirates - Sharjah,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"SHJ,",13
LON,Alliance Hub,United Kingdom - London,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"LON,",14
MAN,Medium,United Kingdom - Manchester,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"MAN,",14
JFK,Alliance Hub,United States - New York,"Mainland US, Alaska & Canada",Contiguous 48 States,North America,"Continental US, Alaska, Canada",Continental US & Canada,North America,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",US Domestic,North America,US Continental,Canada & Continental US,,"JFK,",14
MVD,Low,Uruguay,Southern South America,South America Region 2,South of South America,Southern South America,South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"MVD,",13
TAS,Very Low,Uzbekistan,Central Asia,Middle East / Indian Subcontinent,Central Asia,Middle East,Rest of Asia,Southwest Asia,Asia 2,Asia 2,"Central, South Asia",,"Middle East, Central Asia, Central Russia",Central Asia,Middle East,Southwest Asia,Middle East & North Africa,,"TAS,",14
VLI,Very Low,Vanuatu,Oceania,South Pacific,Others,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",South West Pacific,,,,,,"Australia, New Zealand & South Pacific",,"VLI,",9
CCS,Low,Venezuela,Northern South America,South America Region 1,,Northern South America,South America,,South America,"South, Latin America",South America,South America,Latin America 1 ,South America,South America 1,North South America,Northern South America,,"CCS,",13
HAN,Alliance Hub,Vietnam - Hanoi,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 1,,"HAN,",14
SGN,Alliance Hub,Vietnam - Ho Chi Minh City,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 1,,"SGN,",14
APW,Very Low,Western Samoa,Oceania,South Pacific,Others,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",South West Pacific,,,Australia/New Zealand/Oceania,,,"Australia, New Zealand & South Pacific",,"APW,",10
SAH,Very Low,Yemen,Middle East,,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,,Middle East/Caucasus/North/Central Africa,,,Middle East & North Africa,,"SAH,",9
LUN,Very Low,Zambia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"LUN,",13
HRE,Very Low,Zimbabwe,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"HRE,",13